name,client,site,work_type,owner,progress,start_date,end_date
桜丘住宅改修,桜工務店,桜丘1丁目,建築,佐藤,予定,2025-07-10,2025-09-05
東浜港護岸補修,東浜市役所,東浜港,土木,高橋,進行,2025-07-20,2025-12-10
青葉中学校校舎耐震,青葉学園,青葉町,建築,中村,予定,2025-08-01,2026-02-15
北谷物流倉庫新築,北谷ロジスティクス,北谷工業団地,建築,伊藤,進行,2025-09-05,2026-03-30
南陽太陽光設備,南陽エネルギー,南陽市郊外,その他,山本,予定,2025-08-18,2025-12-22
吉野川橋梁補修,国土交通省,吉野川,土木,渡辺,進行,2025-10-01,2026-03-31
光が丘配水池更新,市水道局,光が丘,土木,鈴木,予定,2025-11-05,2026-05-20
西原文化会館改修,西原市,西原中心部,建築,加藤,予定,2025-09-15,2026-01-25
清水工場ライン更新,清水製作所,清水工場,その他,斎藤,完了,2025-07-01,2025-10-28
梅田地下道防水対策,都市開発機構,梅田駅前,土木,藤田,進行,2025-11-12,2026-04-15
城北こども園新築,城北福祉会,城北町,建築,石井,予定,2025-12-01,2026-06-20
湖畔ホテル耐震改修,湖畔リゾート,湖畔地区,建築,森,進行,2025-09-20,2026-02-28
旭山トンネル換気設備,高速道路公社,旭山インター,土木,岡田,予定,2026-01-10,2026-05-30
潮見倉庫屋根防水,潮見運輸,潮見埠頭,建築,原田,予定,2025-08-05,2025-10-30
